;;;;;;;;;;;;;;C2H6;C3H6;C3H8;H2;C2H4
l [m];C2H4;C3H6;C2H6;C3H8;H2;FLMOL [kgmol/hr];t [s];T [K];2;3;;;;C2H6 - HYSYS;C3H6 - HYSYS;C3H8 - HYSYS;H2 - HYSYS;C2H4 - HYSYS
3,17E-05;8,56E-05;2,01E-05;0,799829883;0,199958817;0,00010565;1,000105661;2,12E-06;1273,054445;0,382350054;0,089572468;;;5,00E-03;0,767231768;3,89E-03;0,192038044;2,04E-02;1,65E-02
6,34E-05;0,000170984;4,01E-05;0,799660182;0,199917735;0,000211041;1,000211086;4,23E-06;1272,9591;0,381492468;0,089374818;;;1,50E-02;0,744838665;6,56E-03;0,186582193;3,43E-02;2,77E-02
9,50E-05;0,000256163;6,00E-05;0,799490897;0,199876752;0,000316176;1,000316276;6,35E-06;1272,863965;0,380638574;0,089178011;;;2,50E-02;0,728173061;8,56E-03;0,182513091;4,47E-02;3,61E-02
0,000126705;0,000341133;7,99E-05;0,799322024;0,199835868;0,000421054;1,000421231;8,46E-06;1272,769039;0,37978835;0,088982043;;;3,50E-02;0,715066282;1,01E-02;0,17930731;5,28E-02;4,27E-02
0,000158382;0,000425895;9,98E-05;0,799153563;0,199795083;0,000525677;1,000525953;1,06E-05;1272,674321;0,378941772;0,088786908;;;4,50E-02;0,704355271;1,14E-02;0,176683614;5,95E-02;4,81E-02
0,000190058;0,000510452;0,000119594;0,798985511;0,199754397;0,000630046;1,000630443;1,27E-05;1272,57981;0,378098817;0,088592601;;;5,50E-02;0,695352211;1,25E-02;0,174475452;6,51E-02;5,26E-02
0,000221734;0,000594804;0,000139359;0,798817866;0,199713808;0,000734163;1,000734702;1,48E-05;1272,485506;0,377259462;0,088399117;;;6,50E-02;0,687620619;1,34E-02;0,172576996;6,99E-02;5,65E-02
0,000253411;0,00067895;0,000159077;0,798650627;0,199673317;0,000838028;1,000838731;1,69E-05;1272,391407;0,376423684;0,088206449;;;7,50E-02;0,680868078;1,43E-02;0,170917267;7,41E-02;5,98E-02
0,000285087;0,000762894;0,000178748;0,798483792;0,199632923;0,000941642;1,00094253;1,90E-05;1272,297512;0,375591461;0,088014595;;;8,50E-02;0,674889856;1,50E-02;0,169446524;7,78E-02;6,28E-02
