l [m];Ethane;Ethylene;Hydrogen;Propane;Propene;FLMOL [kgmol/hr];t [s];T [K]
0.01;0.74887026;0.025724196;0.03175693;0.18761588;0.006032734;1.03279851;0.000667568;1242.999789
0.02;0.724811107;0.037815696;0.046716496;0.181755902;0.008900799;1.049005879;0.001329429;1228.429763
0.03;0.70853952;0.045988739;0.056839677;0.177781126;0.010850938;1.060265127;0.001988934;1218.124131
0.04;0.696225471;0.052171436;0.064503865;0.174766798;0.012332429;1.068951504;0.002646981;1210.129991
0.05;0.686332219;0.057137093;0.07066336;0.172341062;0.013526266;1.076036343;0.003304002;1203.587267
0.06;0.678077293;0.06127933;0.075804221;0.170314265;0.014524891;1.082021822;0.00396025;1198.045396
0.07;0.67100565;0.064826996;0.080209193;0.168575964;0.015382197;1.087203734;0.00461589;1193.237348
0.08;0.664828653;0.067925218;0.084057661;0.167056025;0.016132443;1.091771782;0.005271037;1188.991212
0.09;0.659351549;0.070671901;0.087470687;0.165707077;0.016798786;1.095855208;0.005925773;1185.189545
0.1;0.65443668;0.073136235;0.090533857;0.164495606;0.017397622;1.099546154;0.006580164;1181.748431
0.11;0.64998314;0.075368927;0.093309916;0.163397028;0.017940989;1.102912691;0.007234257;1178.605771
0.12;0.645914769;0.077408247;0.095846229;0.162392772;0.018437982;1.106006558;0.007888094;1175.714288
0.13;0.642172685;0.079283778;0.098179422;0.161468471;0.018895644;1.108868021;0.008541706;1173.037142
0.14;0.63871043;0.081018855;0.100338394;0.160612783;0.019319538;1.111529038;0.009195119;1170.545059
0.15;0.635490715;0.08263221;0.102346344;0.159816598;0.019714133;1.114015403;0.009848357;1168.214383
0.16;0.632483163;0.084139099;0.104222172;0.159072492;0.020083073;1.116348238;0.010501437;1166.025726
0.17;0.629662708;0.085552109;0.105981479;0.158374335;0.02042937;1.11854506;0.011154376;1163.962993
0.18;0.627008424;0.086881748;0.107637285;0.157717006;0.020755537;1.120620554;0.011807188;1162.012678
0.19;0.624502671;0.088136873;0.10920057;0.157096189;0.021063697;1.122587157;0.012459884;1160.163335
0.2;0.622130441;0.089325018;0.110680676;0.156508207;0.021355658;1.124455494;0.013112476;1158.405179
0.21;0.61987886;0.090452647;0.112085616;0.155949908;0.021632969;1.126234712;0.013764973;1156.729779
0.22;0.617736809;0.091525341;0.113422313;0.155418565;0.021896973;1.127932741;0.014417383;1155.129819
0.23;0.615694615;0.092547954;0.114696789;0.154911807;0.022148835;1.129556504;0.015069713;1153.59891
0.24;0.613743816;0.093524734;0.115914312;0.15442756;0.022389578;1.131112078;0.01572197;1152.131439
0.25;0.611876967;0.094459418;0.117079519;0.153963996;0.022620101;1.132604828;0.01637416;1150.722451
0.26;0.610087482;0.09535531;0.11819651;0.153519498;0.0228412;1.134039513;0.017026287;1149.367544
0.27;0.60836951;0.096215346;0.119268929;0.153092632;0.023053582;1.135420372;0.017678358;1148.062797
0.28;0.606717832;0.097042146;0.120300027;0.152682114;0.023257881;1.1367512;0.018330376;1146.804696
0.29;0.605127769;0.097838057;0.121292718;0.152286795;0.023454661;1.138035407;0.018982345;1145.590085
0.3;0.603595114;0.098605188;0.122249622;0.151905642;0.023644433;1.139276068;0.01963427;1144.416113
0.31;0.60211607;0.099345447;0.123173104;0.151537722;0.023827658;1.140475965;0.020286152;1143.280204
0.32;0.600687197;0.100060557;0.124065308;0.151182188;0.024004751;1.141637623;0.020937996;1142.180014
0.33;0.599305373;0.100752085;0.124928177;0.150838273;0.024176092;1.142763341;0.021589803;1141.113411
0.34;0.597967753;0.101421459;0.125763485;0.150505276;0.024342027;1.143855219;0.022241578;1140.078446
0.35;0.596671739;0.102069981;0.126572851;0.15018256;0.02450287;1.144915178;0.022893321;1139.073334
0.36;0.595414949;0.102698845;0.127357757;0.149869537;0.024658912;1.145944983;0.023545036;1138.096437
0.37;0.5941952;0.103309148;0.128119565;0.14956567;0.024810417;1.146946255;0.024196724;1137.146246
0.38;0.593010481;0.103901897;0.128859527;0.149270464;0.02495763;1.147920492;0.024848387;1136.221372
0.39;0.591858939;0.104478022;0.129578799;0.148983463;0.025100777;1.148869075;0.025500028;1135.320529
0.4;0.590738862;0.105038381;0.130278447;0.148704245;0.025240066;1.149793283;0.026151647;1134.442526
0.41;0.589648663;0.10558377;0.13095946;0.148432418;0.02537569;1.150694304;0.026803246;1133.586259
0.42;0.588586871;0.106114926;0.131622754;0.148167621;0.025507828;1.151573241;0.027454827;1132.7507
0.43;0.587552121;0.106632534;0.132269181;0.147909518;0.025636646;1.15243112;0.028106391;1131.934894
0.44;0.58654314;0.107137233;0.132899534;0.147657793;0.025762301;1.153268899;0.028757939;1131.137948
0.45;0.585558742;0.107629617;0.133514552;0.147412155;0.025884935;1.154087472;0.029409473;1130.35903
0.46;0.584597819;0.10811024;0.134114925;0.14717233;0.026004685;1.154887674;0.030060993;1129.59736
0.47;0.583659338;0.108579623;0.134701299;0.146938064;0.026121676;1.155670289;0.030712501;1128.852208
0.48;0.582742327;0.109038251;0.135274278;0.146709117;0.026236027;1.156436052;0.031363998;1128.122889
0.49;0.581845877;0.10948658;0.135834429;0.146485265;0.026347849;1.157185652;0.032015484;1127.408759
0.5;0.580969136;0.109925037;0.136382284;0.146266297;0.026457247;1.157919738;0.03266696;1126.709212
0.51;0.5801113;0.110354026;0.136918343;0.146052014;0.026564317;1.158638921;0.033318428;1126.023679
0.52;0.579271615;0.110773924;0.137443077;0.145842232;0.026669153;1.159343776;0.033969888;1125.351621
0.53;0.578449367;0.111185089;0.13795693;0.145636772;0.026771842;1.160034846;0.034621341;1124.692532
0.54;0.577643887;0.111587856;0.138460321;0.145435471;0.026872465;1.160712646;0.035272787;1124.045932
0.55;0.576854539;0.111982545;0.138953645;0.145238171;0.0269711;1.161377659;0.035924228;1123.411368
0.56;0.576080725;0.112369455;0.139437275;0.145044724;0.02706782;1.162030345;0.036575663;1122.78841
0.57;0.575321877;0.11274887;0.139911566;0.144854991;0.027162696;1.16267114;0.037227094;1122.17665
0.58;0.574577457;0.113121061;0.140376853;0.144668837;0.027255792;1.163300457;0.03787852;1121.575703
0.59;0.573846957;0.113486281;0.140833452;0.144486138;0.027347171;1.163918687;0.038529944;1120.985203
0.6;0.573129893;0.113844774;0.141281667;0.144306774;0.027436893;1.164526203;0.039181364;1120.404801
0.61;0.572425806;0.114196769;0.141721782;0.144130631;0.027525013;1.165123358;0.039832781;1119.834165
0.62;0.571734259;0.114542485;0.142154069;0.143957602;0.027611584;1.16571049;0.040484197;1119.272979
0.63;0.571054838;0.11488213;0.142578789;0.143787583;0.027696659;1.16628792;0.041135611;1118.720945
0.64;0.570387147;0.115215903;0.142996188;0.143620478;0.027780285;1.166855953;0.041787024;1118.177774
0.65;0.56973081;0.115543991;0.143406499;0.143456192;0.027862508;1.167414881;0.042438436;1117.643194
